অইংবা	অ_beg ইং_mid বা_end
পাক্পগী	পাক্_beg প_mid গী_end
পাক্	পাক্_beg
পাক্লক্লবা	পাক্_beg লক্_mid ল_mid বা_end
পাক্লবা	পাক্_beg ল_mid বা_end
পাক্লা	পাক্_beg লা_end
পাক্লি	পাক্_beg লি_end
পাখংগী	পা_beg খং_mid গী_end
পাখং	পা_beg খং_end
পাখংবখোয়্না	পা_beg খং_mid ব_mid খোয়্_mid না_end
পাখংবা	পা_beg খং_mid বা_end
পাখত্খরে	পা_beg খত্_mid খ_mid রে_end
পাখত্খিদুনা	পা_beg খত্_mid খি_mid দু_mid না_end
পাখত্খিবনা	পা_beg খত্_mid খি_mid ব_mid না_end
পাখত্খ্রে	পা_beg খত্_mid খ্রে_end
পাখত্তুনা	পা_beg খত্_mid তু_mid না_end
পাখত্নখি	পা_beg খত্_mid ন_mid খি_end
পাখত্না	পা_beg খত্_mid না_end
পাখত্পদু	পা_beg খত্_mid প_mid দু_end
পাখত্পনা	পা_beg খত্_mid প_mid না_end
পাখত্পা	পা_beg খত্_mid পা_end
পাখত্পোই	পা_beg খত্_mid পোই_end
পাখত্মন্দুনা	পা_beg খত্_mid মন্_mid দু_mid না_end
পাঙথোকখি	পাঙ_beg থোক_mid খি_end
পাঙথোকখিবনি	পাঙ_beg থোক_mid খি_mid ব_mid নি_end
পাঙথোকখিবা	পাঙ_beg থোক_mid খি_mid বা_end
পাঙথোকখ্রে	পাঙ_beg থোক_mid খ্রে_end
পাঙথোকপা	পাঙ_beg থোক_mid পা_end
পাঙথোক্কদবনি	পাঙ_beg থোক্_mid ক_mid দ_mid ব_mid নি_end
পাঙথোক্কদবা	পাঙ_beg থোক্_mid ক_mid দ_mid বা_end
পাঙথোক্কদৌরিবা	পাঙ_beg থোক্_mid ক_mid দৌ_mid রি_mid বা_end
পাঙথোক্তুনা	পাঙ_beg থোক্_mid তু_mid না_end
পাঙথোক্নবগী	পাঙ_beg থোক্_mid ন_mid ব_mid গী_end
পাঙথোক্নি	পাঙ_beg থোক্_mid নি_end
পাঙথোক্লগনি	পাঙ_beg থোক্_mid ল_mid গ_mid নি_end
পাঙথোক্লবগী	পাঙ_beg থোক্_mid ল_midব_mid গী_end
পাঙথোক্লি	পাঙ_beg থোক্_mid লি_end
পাঙথোক্লিবা	পাঙ_beg থোক্_mid লি_mid বা_end
পাঙথোরকপনি	পাঙ_beg থো_mid রক_mid প_mid নি_end
পাঙথোরকপা	পাঙ_beg থো_mid রক_mid পা_end
পাঙনদুনা	পাঙ_beg ন_mid দু_mid না_end
পাঙল	পা_beg ঙল_end
পাঙল্	পা_beg ঙল্_end
পাঙ্গল	পাঙ্_beg গল_end
পাঙ্গল্দগী	পাঙ্_beg গল্_mid দ_mid গী_end
পাঙ্গল্না	পাঙ্_beg গল্_mid না_end
পাঙ্গল্	পাঙ্_beg গল্_end
পাঙ্থোক্খি	পাঙ্_beg থোক্_mid খি_end
পাঙ্থোক্খিবা	পাঙ্_beg থোক্_mid খি_mid বা_end
পাঙ্থোক্খ্রে	পাঙ্_beg থোক্_mid খ্রে_end
পাঙ্থোক্নবা	পাঙ্_beg থোক্_mid ন_mid বা_end
পাঙ্থোক্পদি	পাঙ্_beg থোক্_mid প_mid দি_end
পাঙ্থোক্পা	পাঙ্_beg থোক্_mid পা_end
পাঙ্থোক্লি	পাঙ্_beg থোক্_mid লি_end
পাঙ্থোক্লুনবা	পাঙ্_beg থোক্_mid লু_mid ন_mid বা_end
পাঙ্থোক্লুবগী	পাঙ্_beg থোক্_mid লু_mid ব_mid গী_end
পাঙ্থোরক্পদা	পাঙ্_beg থো_mid রক্_mid প_mid দা_end
পাঙ্থোরক্পনি	পাঙ্_beg থো_mid রক্_mid প_mid নি_end
পাজরিবা	পা_beg জ_mid রি_mid বা_end
পাজিনা	পা_beg জি_mid না_end
পাজি	পা_beg জি_end
পাজিবু	পা_beg জি_mid বু_end
পাজোম্বীনি	পা_beg জোম্_mid বী_mid নি_end
পাটাদার	পা_beg টা_mid দার_end
পাটা	পা_beg টা_end
পাত	পাত_beg
পাতাল	পা_beg তাল_end
পাতাল্দগী	পা_beg তাল্_mid দ_mid গী_end
পাতাল্	পা_beg তাল্_end
পাত্কী	পাত্_beg কী_end
পাত্তা	পাত্_beg তা_end
পাত্তুদা	পাত্_beg তু_mid দা_end
পাত্	পাত্_beg
পাত্শোই	পাত্_beg শোই_end
পাৎশোই	পাৎ_beg শোই_end
পাদুনা	পা_beg দু_mid না_end
পান	পান_beg
পানবা	পান_beg বা_end
পানবীনবা	পান_beg বী_mid ন_mid বা_end
পানরি	পা_beg ন_mid রি_end
পানাকা	পা_beg না_mid কা_end
পানা	পা_beg না_end
পান্খত্লক্পা	পান্_beg খত্_mid লক্_mid পা_end
পান্খি	পান্_beg খি_end
পান্খিবা	পান্_beg খি_mid বা_end
পান্খিবোইরে	পান্_beg খি_mid বোই_mid রে_end
পান্গনি	পান্_beg গ_mid নি_end
পান্গনুসি	পান্_beg গ_mid নু_mid সি_end
পান্গুমসি	পান্_beg গুম_mid সি_end
পান্জবোইরে	পান্_beg জ_mid বোই_mid রে_end
পান্জরে	পান্_beg জ_mid রে_end
পান্জারক্পনি	পান্_beg জা_mid রক্_mid প_mid নি_end
পান্জিদি	পান্_beg জি_mid দি_end
পান্জিদুসু	পান্_beg জি_mid দু_mid সু_end
পান্জিনি	পান্_beg জি_mid নি_end
পান্জি	পান্_beg জি_end
পান্জিসিদি	পান্_beg জি_mid সি_mid দি_end
পান্থা	পান্_beg থা_end
পান্থৈ	পান্_beg থৈ_end
পান্থোংবদু	পান্_beg থোং_mid ব_mid দু_end
পান্দবগুম	পান্_beg দ_mid ব_mid গুম_end
পান্দবগুম্	পান্_beg দ_mid ব_mid গুম্_end
পান্দমদা	পান্_beg দম_mid দা_end
পান্দুনা	পান্_beg দু_mid না_end
পান্দু	পান্_beg দু_end
পান্দুম	পান্_beg দুম_end
পান্দুম্	পান্_beg দুম্_end
পান্দুম্শিংদু	পান্_beg দুম্_mid শিং_mid দু_end
পান্দো	পান্_beg দো_end
পান্দ্রো	পান্_beg দ্রো_end
পান্নচিংবা	পান্_beg ন_mid চিং_mid বা_end
পান্নদ্রে	পান্_beg ন_mid দ্রে_end
পান্ননা	পান্_beg ন_mid না_end
পান্না	পান্_beg না_end
পান্	পান্_beg
পান্বগী	পান্_beg ব_mid গী_end
পান্বগুম্না	পান্_beg ব_mid গুম্_mid না_end
পান্বদুদা	পান্_beg ব_mid দু_mid দা_end
পান্বনি	পান্_beg ব_mid নি_end
পান্বা	পান্_beg বা_end
পান্বিরব্রা	পান্_beg বি_mid র_mid ব্রা_end
পান্বিরে	পান্_beg বি_mid রে_end
পান্বু	পান্_beg বু_end
পান্বোইরে	পান্_beg বোই_mid রে_end
পান্ব্রা	পান্_beg ব্রা_end
পান্মিনরে	পান্_beg মি_mid ন_mid রে_end
পান্মিনরে	পান্_beg মিন_mid রে_end
পান্মিন্নখিবোইরে	পান্_beg মিন্_mid ন_mid খি_mid বোই_mid রে_end
পান্মিন্নরে	পান্_beg মিন্_mid ন_mid রে_end
পান্মিন্নসি	পান্_beg মিন্_mid ন_mid সি_end
পান্শিন্বীরম্লগা	পান্_beg শিন্_mid বী_mid রম্_mid ল_mid গা_end
পান্সু	পান্_beg সু_end
পা	পা_beg
পাবা	পা_beg বা_end
পাবুংনা	পা_beg বুং_mid না_end
পাবোত	পা_beg বোত_end
পাবোত্	পা_beg বোত্_end
পামজবা	পাম_beg জ_mid বা_end
পামজৈ	পাম_beg জৈ_end
পামদবা	পাম_beg দ_mid বা_end
পাম	পাম_beg
পাম্ই	পাম্_beg ই_end
পাম্গী	পাম্_beg গী_end
পাম্জখ্রপোত্নি	পাম্_beg জ_mid খ্র_mid পোত্_mid নি_end
পাম্জবনি	পাম্_beg জ_mid ব_mid নি_end
পাম্জবা	পাম্_beg জ_mid বা_end
পাম্জবোইরে	পাম্_beg জ_mid বোই_mid রে_end
পাম্জমন্খ্রদনা	পাম্_beg জ_mid মন্_mid খ্র_mid দ_mid না_end
পাম্দগী	পাম্_beg দ_mid গী_end
পাম্দা	পাম্_beg দা_end
পাম্দে	পাম্_beg দে_end
পাম্দ্রে	পাম্_beg দ্রে_end
পাম্নরকপা	পাম্_beg ন_mid র_mid ক_mid পা_end
পাম্না	পাম্_beg না_end
পাম্নী	পাম্_beg নী_end
পাম্নৈ	পাম্_beg নৈ_end
পাম্	পাম্_beg
পাম্ফেল	পাম্_beg ফেল_end
পাম্ফেল্	পাম্_beg ফেল্_end
পাম্বমক	পাম্_beg ব_mid মক_end
পাম্বমক্	পাম্_beg ব_mid মক্_end
পাম্বা	পাম্_beg বা_end
পাম্বি	পাম্_beg বি_end
পাম্বীদগী	পাম্_beg বী_mid দ_mid গী_end
পাম্বীদুদগী	পাম্_beg বী_mid দু_mid দ_mid গী_end
পাম্বী	পাম্_beg বী_end
পাম্বীবশিংনা	পাম্_beg বী_mid ব_mid শিং_mid না_end
পাম্বীবা	পাম্_beg বী_mid বা_end
পাম্বীশিংনা	পাম্_beg বী_mid শিং_mid না_end
পাম্বৈদি	পাম্_beg বৈ_mid দি_end
পাম্বৈনা	পাম্_beg বৈ_mid না_end
পাম্বৈ	পাম্_beg বৈ_end
পাম্বোইরে	পাম্_beg বোই_mid রে_end
পাম্বোম	পাম্_beg বোম_end
পাম্বোম্	পাম্_beg বোম্_end
পাম্মন্দুনা	পাম্_beg মন্_mid দু_mid না_end
পাম্মিদো	পাম্_beg মি_mid দো_end
পাম্মি	পাম্_beg মি_end
পাম্মী	পাম্_beg মী_end
পাম্মুখ্রেদা	পাম্_beg মু_mid খ্রে_mid দা_end
পাম্মুবা	পাম্_beg মু_mid বা_end
পাম্মে	পাম্_beg মে_end
পাম্লবসু	পাম্_beg ল_mid ব_mid সু_end
পাম্লিবা	পাম্_beg লি_mid বা_end
পাম্লুবদগী	পাম্_beg লু_mid ব_mid দ_mid গী_end
পাম্লৌদগী	পাম্_beg লৌ_mid দ_mid গী_end
পাম্সিগী	পাম্_beg সি_mid গী_end
পায়খত্পা	পায়_beg খত্_mid পা_end
পায়খত্লিবা	পায়_beg খত্_mid লি_mid বা_end
পায়নবা	পায়_beg ন_mid বা_end
পায়	পায়_beg
পায়বা	পায়_beg বা_end
পায়রিবা	পায়_beg রি_mid বা_end
পায়াপোন্তে	পা_beg য়া_mid পোন্_mid তে_end
পায়্খত্তুনা	পায়্_beg খত্_mid তু_mid না_end
পায়্খত্লগা	পায়্_beg খত্_mid ল_mid গা_end
পায়্খিবোই	পায়্_beg খি_mid বোই_end
পায়্খিবোইরে	পায়্_beg খি_mid বোই_mid রে_end
পায়্গে	পায়্_beg গে_end
পায়্দুনা	পায়্_beg দু_mid না_end
পায়্না	পায়্_beg না_end
পায়্	পায়্_beg
পায়্বতা	পায়্_beg ব_mid তা_end
পায়্বদগী	পায়্_beg ব_mid দ_mid গী_end
পায়্বদা	পায়্_beg ব_mid দা_end
পায়্বা	পায়্_beg বা_end
পায়্বিয়ুদনা	পায়্_beg বি_mid য়ু_mid দ_mid না_end
পায়্বিরম্বসু	পায়্_beg বি_mid রম্_mid ব_mid সু_end
পায়্বিরিবসিবো	পায়্_beg বি_mid রি_mid ব_mid সি_mid বো_end
পায়্বী	পায়্_beg বী_end
পায়্মিন্নরগা	পায়্_beg মিন্_mid ন_mid র_mid গা_end
পায়্রগা	পায়্_beg র_mid গা_end
পায়্রদুনা	পায়্_beg র_mid দু_mid না_end
পায়্রম্বা	পায়্_beg রম্_mid বা_end
পায়্রিবা	পায়্_beg রি_mid বা_end
পায়্রুবদা	পায়্_beg রু_mid ব_mid দা_end
পায়্রুবু	পায়্_beg রু_mid বু_end
পায়্রুরেদো	পায়্_beg রু_mid রে_mid দো_end
পায়্রুরে	পায়্_beg রু_mid রে_end
পায়্হল্লগা	পায়্_beg হল্_mid ল_mid গা_end
পারগা	পা_beg র_mid গা_end
পারসিগে	পা_beg র_mid সি_mid গে_end
পারী	পা_beg রী_end
পারুরগদি	পা_beg রু_mid র_mid গ_mid দি_end
পার্টি	পার্_beg টি_end
পার্ত	পার্ত_beg
পার্তশিং	পার্ত_beg শিং_end
পার্তিগী	পার্_beg তি_mid গী_end
পার্তিদা	পার্_beg তি_mid দা_end
পার্তিনা	পার্_beg তি_mid না_end
পার্তি	পার্_beg তি_end
পার্ফোমিং	পার্_beg ফো_mid মিং_end
পার্ফোমেন্স	পার্_beg ফো_mid মেন্স_end
পার্মানেন্ত	পার্_beg মা_mid নেন্ত_end
পার্মিত	পার্_beg মিত_end
পার্লিমেন্তকী	পার্_beg লি_mid মেন্_mid ত_mid কী_end
পার্সন	পার্_beg সন_end
পার্সনেল	পার্স_beg নেল_end
পার্সনেলশিংনা	পার্স_beg নেল_mid শিং_mid না_end
পালন	পা_beg লন_end
পাল	পাল_beg
পালা	পা_beg লা_end
পাল্ক	পাল্ক_beg
পাল্লক্এদো	পাল্_beg লক্_mid এ_mid দো_end
পাল্লগে	পাল্_beg ল_mid গে_end
পাল্লনি	পাল্_beg ল_mid নি_end
পাল্লবদি	পাল্_beg ল_mid ব_mid দি_end
পাল্লবা	পাল্_beg ল_mid বা_end
পাল্লবোইরে	পাল্_beg ল_mid বোই_mid রে_end
পাল্লম্বা	পাল্_beg লম্_mid বা_end
পাল্লম্বোইরে	পাল্_beg লম্_mid বোই_mid রে_end
পাল্লিবদু	পাল্_beg লি_mid ব_mid দু_end
পাল্লিবা	পাল্_beg লি_mid বা_end
পাল্লিসে	পাল্_beg লি_mid সে_end
পাল্লুরে	পাল্_beg লু_mid রে_end
পাল্হন্খি	পাল্_beg হন্_mid খি_end
পাল্হন্গনি	পাল্_beg হন্_mid গ_mid নি_end
পাল্হল্লবোইরে	পাল্_beg হল্_mid ল_mid বোই_mid রে_end
পাল্হৌই	পাল্_beg হৌ_mid ই_end
পাল্হৌ	পাল্_beg হৌ_end
পাষ্টরগী	পাষ্_beg টর_mid গী_end
পাষ্টর	পাষ্_beg টর_end
পাস	পাস_beg
পাস্তর	পাস্_beg তর_end
পিক	পিক_beg
পিক্ত্রু	পিক্_beg ত্রু_end
পিক্পা	পিক্_beg পা_end
পিক্লিঙৈদগী	পিক্_beg লি_mid ঙৈ_mid দ_mid গী_end
পিগীদমক	পি_beg গী_mid দ_mid মক_end
পিগী	পি_beg গী_end
পিজগদৌরিনো	পি_beg জ_mid গ_mid দৌ_mid রি_mid নো_end
পিজৌদনা	পি_beg জৌ_mid দ_mid না_end
পিজৌ	পি_beg জৌ_end
পিটিআই	পি_beg টি_mid আই_end
পিদগী	পি_beg দ_mid গী_end
পিনরিবা	পি_beg ন_mid রি_mid বা_end
পিনা	পি_beg না_end
পিপল	পি_beg পল_end
পি	পি_beg
পিবিবসিবু	পি_beg বি_mid ব_mid সি_mid বু_end
পিবিয়ু	পি_beg বি_mid য়ু_end
পিরক্উ	পি_beg রক্_mid উ_end
পিরাঙ	পি_beg রাঙ_end
পিরাঙ্	পি_beg রাঙ্_end
পিশক	পি_beg শক_end
পিশক্তু	পি_beg শক্_mid তু_end
পিশক্তু	পিশক্_beg তু_end
পিশক্	পি_beg শক্_end
পিশক্শিং	পি_beg শক্_mid শিং_end
পিসকিপিত্	পিস_beg কি_mid পিত্_end
পিস	পিস_beg
পীং	পীং_beg
পীক	পীক_beg
পীক্ই	পীক্_beg ই_end
পীক্কনাউ	পীক্_beg ক_mid নাউ_end
পীক্খ্রবা	পীক্_beg খ্র_mid বা_end
পীক্থন্না	পীক্_beg থন্_mid না_end
পীক্পনিনা	পীক্_beg প_mid নি_mid না_end
পীক্	পীক্_beg
পীক্লবা	পীক্_beg ল_mid বা_end
পীক্লা	পীক্_beg লা_end
পীক্লিঙৈদগী	পীক্_beg লি_mid ঙৈ_mid দ_mid গী_end
পীক্লিঙৈদা	পীক্_beg লি_mid ঙৈ_mid দা_end
পীক্লিবা	পীক্_beg লি_mid বা_end
পীক্শিল্লক্তুনা	পীক্_beg শিল্_mid লক্_mid তু_mid না_end
পীক্শিল্লবোইরে	পীক্_beg শিল্_mid ল_mid বোই_mid রে_end
পীখিদে	পী_beg খি_mid দে_end
পীখি	পী_beg খি_end
পীখিবগী	পী_beg খি_mid ব_mid গী_end
পীখিবনি	পী_beg খি_mid ব_mid নি_end
পীখিবা	পী_beg খি_mid বা_end
পীখ্রে	পী_beg খ্রে_end
পীগনি	পী_beg গ_mid নি_end
পীগনী	পী_beg গ_mid নী_end
পীগে	পী_beg গে_end
পীজগদবসিবো	পী_beg জ_mid গ_mid দ_mid ব_mid সি_mid বো_end
পীজগনি	পী_beg জ_mid গ_mid নি_end
পীজগে	পী_beg জ_mid গে_end
পীজদুনা	পী_beg জ_mid দু_mid না_end
পীজনবা	পী_beg জ_mid ন_mid বা_end
পীজনিংঙাই	পী_beg জ_mid নিং_mid ঙাই_end
পীজবদগী	পী_beg জ_mid ব_mid দ_mid গী_end
পীজবদা	পী_beg জ_mid ব_mid দা_end
পীজবা	পী_beg জ_mid বা_end
পীজবোইরে	পী_beg জ_mid বোই_mid রে_end
পীজরগা	পী_beg জ_mid র_mid গা_end
পীজরবা	পী_beg জ_mid র_mid বা_end
পীজরবোইরে	পী_beg জ_mid র_mid বোই_mid রে_end
পীজরুখিগে	পী_beg জ_mid রু_mid খি_mid গে_end
পীজরুরবোইরে	পী_beg জ_mid রু_mid র_mid বোই_mid রে_end
পীজরে	পী_beg জ_mid রে_end
পীজা	পী_beg জা_end
পীজৌ	পী_beg জৌ_end
পীজ্	পীজ্_beg
পীত	পীত_beg
পীথক	পী_beg থক_end
পীথক্পা	পী_beg থক্_mid পা_end
পীথক্	পী_beg থক্_end
পীথিবীদা	পী_beg থি_mid বী_mid দা_end
পীথোক্খ্রে	পী_beg থোক্_mid খ্রে_end
পীথোক্লোই	পী_beg থোক্_mid লোই_end
পীথোরক্লে	পী_beg থো_mid রক্_mid লে_end
পীদবা	পী_beg দ_mid বা_end
পীদুনা	পী_beg দু_mid না_end
পীননবগী	পী_beg ন_mid ন_mid ব_mid গী_end
পীনবগী	পী_beg ন_mid ব_mid গী_end
পীনবা	পী_beg mid ন_mid বা_end
পীনবা	পী_beg ন_mid বা_end
পীনবা	পীন_beg বা_end
পীনবীয়ু	পী_beg ন_mid বী_mid য়ু_end
পীনহৈবা	পী_beg ন_mid হৈ_mid বা_end
পীনহৈবা	পীন_beg হৈ_mid বা_end
পীপলস	পী_beg পলস_end
পী	পী_beg
পীবগী	পী_beg ব_mid গী_end
পীবনি	পী_beg ব_mid নি_end
পীবা	পী_beg বা_end
পীবিদবা	পী_beg বি_mid দ_mid বা_end
পীবিনবা	পী_beg বি_mid ন_mid বা_end
পীবিনিংবা	পী_beg বি_mid নিং_mid বা_end
পীবিবা	পী_beg বি_mid বা_end
পীবিয়ু	পী_beg বি_mid য়ু_end
পীবিরক্লবোইরে	পী_beg বি_mid রক্_mid ল_mid বোই_mid রে_end
পীবিরগা	পী_beg বি_mid র_mid গা_end
পীবিরে	পী_beg বি_mid রে_end
পীবীয়ূ	পী_beg বী_mid য়ূ_end
পীবীরকউ	পী_beg বী_mid র_mid ক_mid উ_end
পীয়ু	পী_beg য়ু_end
পীরকই	পী_beg রক_mid ই_end
পীরক্অবোইরে	পী_beg রক্_mid অ_mid বোই_mid রে_end
পীরক্কদরা	পী_beg রক্_mid ক_mid দ_mid রা_end
পীরক্খি	পী_beg রক্_mid খি_end
পীরক্পদগী	পী_beg রক্_mid প_mid দ_mid গী_end
পীরক্পা	পী_beg রক্_mid পা_end
পীরক্পোইরে	পী_beg রক্_mid পোই_mid রে_end
পীরক্লে	পী_beg রক্_mid লে_end
পীরগদবনি	পী_beg র_mid গ_mid দ_mid ব_mid নি_end
পীরগদি	পী_beg র_mid গ_mid দি_end
পীরগা	পী_beg র_mid গা_end
পীরগে	পী_beg র_mid গে_end
পীরবনিকো	পী_beg র_mid ব_mid নি_mid কো_end
পীরমখিবা	পী_beg রম_mid খি_mid বা_end
পীরম্বা	পী_beg রম্_mid বা_end
পীরম্মী	পী_beg রম্_mid মী_end
পীরম্মু	পী_beg রম্_mid মু_end
পীরম্লগা	পী_beg রম্_mid ল_mid গা_end
পীরম্লগে	পী_beg রম্_mid ল_mid গে_end
পীরম্লে	পী_beg রম্_mid লে_end
পীরি	পী_beg রি_end
পীরিবা	পী_beg রি_mid বা_end
পীরুগে	পী_beg রু_mid গে_end
পীরুবদগী	পী_beg রু_mid ব_mid দ_mid গী_end
পীরুবনি	পী_beg রু_mid ব_mid নি_end
পীরুরে	পী_beg রু_mid রে_end
পীরে	পী_beg রে_end
পীরো	পী_beg রো_end
পীশক্তুনা	পী_beg শক্_mid তু_mid না_end
পীশিনখিবগা	পী_beg শিন_mid খি_mid ব_mid গা_end
পীশিন্দুনা	পী_beg শিন্_mid দু_mid না_end
পীশিল্লক্নবা	পী_beg শিল্_mid লক্_mid ন_mid বা_end
পীশিল্লগা	পী_beg শিল্_mid ল_mid গা_end
পুই	পুই_beg
পুংকক	পুং_beg কক_end
পুংকক্	পুং_beg কক্_end
পুংকোয়	পুং_beg কোয়_end
পুং	পুং_beg
পুক্কৈ	পুক্_beg কৈ_end
পুক্চেন্সিবু	পুক্_beg চেন্_mid সি_mid বু_end
পুক্চেল	পুক্_beg চেল_end
পুক্চেল্	পুক্_beg চেল্_end
পুক্চেল্শেংনা	পুক্_beg চেল্_mid শেং_mid না_end
পুক্চেল্শেংবা	পুক্_beg চেল্_mid শেং_mid বা_end
পুক্চেল্সিবু	পুক্_beg চেল্_mid সি_mid বু_end
পুক্নিংদা	পুক্_beg নিং_mid দা_end
পুক্নিং	পুক্_beg নিং_end
পুক্ফবো	পুক্_beg ফ_mid বো_end
পুখত্খি	পু_beg খত্_mid খি_end
পুখত্তুনা	পু_beg খত্_mid তু_mid না_end
পুখত্লক্উ	পু_beg খত্_mid লক্_mid উ_end
পুখত্লক্নবা	পু_beg খত্_mid লক্_mid ন_mid বা_end
পুখম	পু_beg খম_end
পুখম্দা	পু_beg খম্_mid দা_end
পুখম্	পু_beg খম্_end
পুখরি	পু_beg খ_mid রি_end
পুখরে	পু_beg খ_mid রে_end
পুখিগে	পু_beg খি_mid গে_end
পুখিবা	পু_beg খি_mid বা_end
পুখিবোইরে	পু_beg খি_mid বোই_mid রে_end
পুখো	পু_beg খো_end
পুখ্রগা	পু_beg খ্র_mid গা_end
পুখ্রিগী	পু_beg খ্রি_mid গী_end
পুখ্রিদগী	পু_beg খ্রি_mid দ_mid গী_end
পুখ্রিদা	পু_beg খ্রি_mid দা_end
পুখ্রিদুগী	পু_beg খ্রি_mid দু_mid গী_end
পুখ্রি	পু_beg খ্রি_end
পুখ্রিময়া	পু_beg খ্রি_mid ম_mid য়া_end
পুখ্রে	পু_beg খ্রে_end
পুগদবনি	পু_beg গ_mid দ_mid ব_mid নি_end
পুগদৌরি	পু_beg গ_mid দৌ_mid রি_end
পুগী	পু_beg গী_end
পুগে	পু_beg গে_end
পুঙ	পুঙ_beg
পুঙম্লরোই	পু_beg ঙম্_mid ল_mid রোই_end
পুঙাঙ	পু_beg ঙাঙ_end
পুঙ্খোল্	পুঙ্_beg খোল্_end
পুঙ্গী	পুঙ্_beg গী_end
পুঙ্দুদা	পুঙ্_beg দু_mid দা_end
পুঙ্	পুঙ্_beg
পুঙ্ফম	পুঙ্_beg ফম_end
পুঙ্ফম্	পুঙ্_beg ফম্_end
পুজখ্রো	পু_beg জ_mid খ্রো_end
পুথবা	পু_beg থ_mid বা_end
পুথোকখিনবা	পু_beg থোক_mid খি_mid ন_mid বা_end
পুথোকখ্রে	পু_beg থোক_mid খ্রে_end
পুথোকপনি	পু_beg থোক_mid প_mid নি_end
পুথোকপা	পু_beg থোক_mid পা_end
পুথোকপিরকউ	পু_beg থোক_mid পি_mid রক_mid উ_end
পুথোক	পু_beg থোক_end
পুথোকরক্লি	পু_beg থোক_mid রক্_mid লি_end
পুথোক্খ্রে	পু_beg থোক্_mid খ্রে_end
পুথোক্তুনা	পু_beg থোক্_mid তু_mid না_end
পুথোক্পা	পু_beg থোক্_mid পা_end
পুথোক্পিরক্উদনা	পু_beg থোক্_mid পি_mid রক্_mid উ_mid দ_mid না_end
পুথোক্পিরক্ও	পু_beg থোক্_mid পি_mid রক্_mid ও_end
পুথোক্পিরক্	পু_beg থোক্_mid পি_mid রক্_end
পুথোক্	পু_beg থোক্_end
পুথোক্লগা	পু_beg থোক্_mid ল_mid গা_end
পুথোক্লে	পু_beg থোক্_mid লে_end
পুথোরক্উ	পু_beg থো_mid রক্_mid উ_end
পুথোরক্তুনা	পু_beg থো_mid রক্_mid তু_mid না_end
পুথোরক্লগা	পু_beg থো_mid রক্_mid ল_mid গা_end
পুদনা	পু_beg দ_mid না_end
পুদুকোত্তাই	পু_beg দু_mid কোত্_mid তাই_end
পুদুনা	পু_beg দু_mid না_end
পুন	পুন_beg
পুনমক্	পু_beg ন_mid মক্_end
পুনিংবা	পু_beg নিং_mid বা_end
পুন্দুনা	পুন্_beg দু_mid না_end
পুন্দ্রৈ	পুন্_beg দ্রৈ_end
পুন্নমক্	পুন্_beg ন_mid মক্_end
পুন্না	পুন্_beg না_end
পুন্	পুন্_beg
পুন্শিন্দুনা	পুন্_beg শিন্_mid দু_mid না_end
পুন্শিন্নবনিনা	পুন্_beg শিন্_mid ন_mid ব_mid নি_mid না_end
পুন্শিল্লগা	পুন্_beg শিল্_mid ল_mid গা_end
পুন্শিল্লম্বা	পুন্_beg শিল্_mid লম্_mid বা_end
পুন্শিল্লম্লগা	পুন্_beg শিল্_mid লম্_mid ল_mid গা_end
পুন্শিল্লে	পুন্_beg শিল্_mid লে_end
পুন্শিল্লো	পুন্_beg শিল্_mid লো_end
পুন্সিগী	পুন্_beg সি_mid গী_end
পুন্সিদা	পুন্_beg সি_mid দা_end
পুন্সি	পুন্_beg সি_end
পুন্সিসিমা	পুন্_beg সি_mid সি_mid মা_end
পুবা	পু_beg বা_end
পুবিখো	পু_beg বি_mid খো_end
পুবিয়ু	পু_beg বি_mid য়ু_end
পুবিরক্উ	পু_beg বি_mid রক্_mid উ_end
পুবিরক্পোইরে	পু_beg বি_mid রক্_mid পোই_mid রে_end
পুবিরো	পু_beg বি_mid রো_end
পুবীনবা	পু_beg বী_mid ন_mid বা_end
পুবী	পু_beg বী_end
পুমনমক	পুম_beg ন_mid মক_end
পুম্কোয়	পুম্_beg কোয়_end
পুম্কোয়্	পুম্_beg কোয়্_end
পুম্ঙক	পুম্_beg ঙক_end
পুম্ঙক্	পুম্_beg ঙক্_end
পুম্ঙাঙ	পুম্_beg ঙাঙ_end
পুম্ঙাঙ্	পুম্_beg ঙাঙ্_end
পুম্চাই	পুম্_beg চাই_end
পুম্নমক	পুম্_beg ন_mid মক_end
পুম্নমক্কিসু	পুম্_beg ন_mid মক্_mid কি_mid সু_end
পুম্নমক্কী	পুম্_beg ন_mid মক্_mid কী_end
পুম্নমক্খঙ্নরে	পুম্_beg ন_mid মক্_mid খঙ্_mid ন_mid রে_end
পুম্নমক্তা	পুম্_beg ন_mid মক্_mid তা_end
পুম্নমক্তি	পুম্_beg ন_mid মক্_mid তি_end
পুম্নমক্তু	পুম্_beg ন_mid মক্_mid তু_end
পুম্নমক্তো	পুম্_beg ন_mid মক্_mid তো_end
পুম্নমক্না	পুম্_beg ন_mid মক্_mid না_end
পুম্নমক্পু	পুম্_beg ন_mid মক্_mid পু_end
পুম্নমক্	পুম্_beg ন_mid মক্_end
পুম্নমক্সি	পুম্_beg ন_mid মক্_mid সি_end
পুম্নমাক	পুম্_beg ন_mid মাক_end
পুম্নমাক্	পুম্_beg ন_mid মাক্_end
